,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
11,frozenset(['Skin Balancing Pore-Reducing Toner - 190 ml']),frozenset(['Skin Perfecting 2% BHA (Salicylic Acid) Liquid Exfoliator - 118 ml']),0.0485227939738,0.0301310898063,0.00189134546403,0.0389784946237,1.29363042871,0.000429300801155,1.00920625061
12,frozenset(['Skin Perfecting 2% BHA (Salicylic Acid) Liquid - 118 ml']),frozenset(['Skin Balancing Invisible Finish Moisture Gel - 60 ml']),0.0895454249005,0.0336529054979,0.00345659688254,0.0386016023307,1.14705110181,0.00044313316059,1.00514739451
13,frozenset(['Skin Balancing Invisible Finish Moisture Gel - 60 ml']),frozenset(['Skin Perfecting 2% BHA (Salicylic Acid) Liquid - 118 ml']),0.0336529054979,0.0895454249005,0.00345659688254,0.102713178295,1.14705110181,0.00044313316059,1.01467507722
14,frozenset(['Resist Weightless Advanced Repairing Toner - 118 ml']),frozenset(['Resist Daily Pore-Refining Treatment 2% BHA (Salicylic Acid) - 88 ml']),0.035544250962,0.0525011413292,0.00528272353747,0.148623853211,2.83086899538,0.00341660979427,1.11290275426
15,frozenset(['Resist Daily Pore-Refining Treatment 2% BHA (Salicylic Acid) - 88 ml']),frozenset(['Resist Weightless Advanced Repairing Toner - 118 ml']),0.0525011413292,0.035544250962,0.00528272353747,0.100621118012,2.83086899538,0.00341660979427,1.07235756626
16,frozenset(['Resist Whitening Essence - 30 ml']),frozenset(['Skin Balancing Pore-Reducing Toner - 190 ml']),0.0193047674949,0.0485227939738,0.00123915737299,0.0641891891892,1.32286671752,0.000302436117117,1.0167409855
17,frozenset(['Skin Balancing Pore-Reducing Toner - 190 ml']),frozenset(['Resist Whitening Essence - 30 ml']),0.0485227939738,0.0193047674949,0.00123915737299,0.0255376344086,1.32286671752,0.000302436117117,1.00639621101
18,frozenset(['Resist Weightless Body Lotion 2% BHA (Salicylic Acid) - 210 ml']),frozenset(['Resist Skin Revealing Body Lotion 10% AHA (Glycolic Acid) - 210 ml']),0.0269353681602,0.0168916715581,0.00202178308224,0.0750605326877,4.44364149691,0.00156679968998,1.0628893708
19,frozenset(['Resist Skin Revealing Body Lotion 10% AHA (Glycolic Acid) - 210 ml']),frozenset(['Resist Weightless Body Lotion 2% BHA (Salicylic Acid) - 210 ml']),0.0168916715581,0.0269353681602,0.00202178308224,0.119691119691,4.44364149691,0.00156679968998,1.10536727915
20,frozenset(['Skin Perfecting 8% AHA (Glycolic Acid) Gel - 100 ml']),frozenset(['Resist Daily Pore-Refining Treatment 2% BHA (Salicylic Acid) - 88 ml']),0.0153264201396,0.0525011413292,0.00104350094567,0.068085106383,1.29683097661,0.000238846395855,1.01672251958
21,frozenset(['Resist Daily Pore-Refining Treatment 2% BHA (Salicylic Acid) - 88 ml']),frozenset(['Skin Perfecting 8% AHA (Glycolic Acid) Gel - 100 ml']),0.0525011413292,0.0153264201396,0.00104350094567,0.0198757763975,1.29683097661,0.000238846395855,1.0046416119
22,frozenset(['Resist Super-Light Daily Wrinkle Defense SPF 30 - 60 ml']),frozenset(['Resist Anti-Aging Clear Skin Hydrator - 60 ml']),0.0329354985978,0.0296093393335,0.00215222070045,0.0653465346535,2.20695686309,0.00117702234635,1.03823577042
23,frozenset(['Resist Anti-Aging Clear Skin Hydrator - 60 ml']),frozenset(['Resist Super-Light Daily Wrinkle Defense SPF 30 - 60 ml']),0.0296093393335,0.0329354985978,0.00215222070045,0.0726872246696,2.20695686309,0.00117702234635,1.04286765709
